Payment_Type,Amount,Vendor_Type,PAN_Available,TDS_Section,TDS_Rate,TDS_Amount
Contractor,44270,Company,Yes,194C,1,442.7
Salary,326147,Employee,No,192,20,65229.4
Professional,93418,Individual,Yes,194J,10,9341.8
Rent,459629,Individual,No,194I,20,91925.8
Salary,328089,Employee,Yes,192,5,16404.45
Rent,266255,Individual,No,194I,20,53251.0
Contractor,435473,Company,Yes,194C,2,8709.46
Rent,56125,Company,Yes,194I,10,5612.5
Contractor,24517,Individual,Yes,194C,2,490.34
Professional,101621,Company,Yes,194J,10,10162.1
Professional,262340,Individual,Yes,194J,10,26234.0
Contractor,319807,Individual,Yes,194C,2,6396.14
Professional,252323,Company,No,194J,20,50464.6
Interest,278660,Individual,Yes,194A,10,27866.0
Interest,300798,Individual,Yes,194A,10,30079.8
Contractor,380916,Individual,Yes,194C,2,7618.32
Interest,444040,Company,No,194A,20,88808.0
Interest,231895,Company,No,194A,20,46379.0
Salary,263283,Employee,No,192,20,52656.6
Salary,64627,Employee,No,192,20,12925.4
Salary,50577,Employee,Yes,192,30,15173.1
Contractor,305490,Company,No,194C,20,61098.0
Rent,215938,Individual,Yes,194I,10,21593.8
Contractor,497605,Company,Yes,194C,2,9952.1
Professional,72611,Company,Yes,194J,10,7261.1
Professional,337908,Company,Yes,194J,10,33790.8
Professional,355046,Individual,Yes,194J,10,35504.6
Interest,323015,Individual,Yes,194A,10,32301.5
Rent,151803,Individual,Yes,194I,10,15180.3
Professional,402170,Company,No,194J,20,80434.0
Professional,101589,Individual,Yes,194J,10,10158.9
Rent,46478,Individual,Yes,194I,10,4647.8
Professional,23654,Company,Yes,194J,10,2365.4
Professional,315963,Individual,Yes,194J,10,31596.3
Rent,327955,Individual,No,194I,20,65591.0
Salary,45166,Employee,No,192,20,9033.2
Contractor,75361,Company,Yes,194C,2,1507.22
Professional,344531,Individual,No,194J,20,68906.2
Interest,258457,Individual,Yes,194A,10,25845.7
Interest,499780,Individual,No,194A,20,99956.0
Interest,207679,Individual,No,194A,20,41535.8
Rent,376267,Individual,No,194I,20,75253.4
Rent,334753,Individual,Yes,194I,10,33475.3
Rent,396718,Company,No,194I,20,79343.6
Rent,339307,Individual,Yes,194I,10,33930.7
Rent,207771,Company,Yes,194I,10,20777.1
Professional,46087,Company,No,194J,20,9217.4
Interest,257346,Company,Yes,194A,10,25734.6
Professional,27298,Company,No,194J,20,5459.6
Interest,303500,Individual,No,194A,20,60700.0
Professional,427101,Individual,Yes,194J,10,42710.1
Salary,86559,Employee,No,192,20,17311.8
Salary,199872,Employee,No,192,20,39974.4
Professional,42439,Company,No,194J,20,8487.8
Salary,365464,Employee,No,192,20,73092.8
Rent,345169,Individual,Yes,194I,10,34516.9
Professional,97523,Company,Yes,194J,10,9752.3
Professional,94624,Company,No,194J,20,18924.8
Contractor,343575,Individual,Yes,194C,2,6871.5
Interest,93914,Company,No,194A,20,18782.8
Salary,369183,Employee,No,192,20,73836.6
Contractor,199704,Individual,Yes,194C,1,1997.04
Rent,167083,Company,No,194I,20,33416.6
Rent,271430,Individual,No,194I,20,54286.0
Salary,479911,Employee,Yes,192,20,95982.2
Professional,472707,Company,Yes,194J,10,47270.7
Rent,147373,Individual,No,194I,20,29474.6
Rent,223215,Individual,Yes,194I,10,22321.5
Professional,252911,Individual,No,194J,20,50582.2
Rent,336653,Individual,Yes,194I,10,33665.3
Interest,111731,Company,No,194A,20,22346.2
Salary,217900,Employee,No,192,20,43580.0
Professional,342570,Company,No,194J,20,68514.0
Contractor,440652,Individual,No,194C,20,88130.4
Contractor,467517,Individual,Yes,194C,2,9350.34
Interest,248426,Company,No,194A,20,49685.2
Salary,21599,Employee,No,192,20,4319.8
Rent,69042,Company,No,194I,20,13808.4
Rent,230840,Individual,Yes,194I,10,23084.0
Rent,448352,Individual,No,194I,20,89670.4
Professional,189539,Individual,Yes,194J,10,18953.9
Rent,370865,Company,No,194I,20,74173.0
Professional,196213,Individual,No,194J,20,39242.6
Rent,233885,Company,Yes,194I,10,23388.5
Professional,493134,Company,Yes,194J,10,49313.4
Professional,326436,Individual,Yes,194J,10,32643.6
Rent,191673,Company,Yes,194I,10,19167.3
Contractor,94504,Individual,Yes,194C,2,1890.08
Interest,388532,Company,Yes,194A,10,38853.2
Professional,380149,Individual,Yes,194J,10,38014.9
Rent,383791,Company,No,194I,20,76758.2
Contractor,416436,Individual,No,194C,20,83287.2
Professional,316705,Individual,Yes,194J,10,31670.5
Professional,452461,Individual,No,194J,20,90492.2
Professional,341844,Company,Yes,194J,10,34184.4
Interest,444615,Individual,No,194A,20,88923.0
Contractor,430687,Individual,Yes,194C,2,8613.74
Interest,62187,Company,Yes,194A,10,6218.7
Contractor,496389,Company,Yes,194C,1,4963.89
Salary,194670,Employee,Yes,192,30,58401.0
Rent,415228,Company,No,194I,20,83045.6
Interest,236643,Individual,Yes,194A,10,23664.3
Salary,203033,Employee,Yes,192,30,60909.9
Contractor,484819,Individual,Yes,194C,2,9696.38
Interest,304528,Individual,Yes,194A,10,30452.8
Professional,483781,Company,No,194J,20,96756.2
Interest,248042,Individual,Yes,194A,10,24804.2
Contractor,289087,Individual,Yes,194C,1,2890.87
Contractor,331980,Individual,No,194C,20,66396.0
Rent,40482,Individual,No,194I,20,8096.4
Rent,344928,Individual,No,194I,20,68985.6
Professional,30123,Individual,No,194J,20,6024.6
Rent,486239,Company,No,194I,20,97247.8
Rent,292442,Company,No,194I,20,58488.4
Professional,170176,Company,Yes,194J,10,17017.6
Salary,48974,Employee,Yes,192,20,9794.8
Salary,92370,Employee,No,192,20,18474.0
Contractor,265418,Individual,Yes,194C,2,5308.36
Salary,67558,Employee,No,192,20,13511.6
Rent,149363,Company,No,194I,20,29872.6
Interest,287117,Company,No,194A,20,57423.4
Salary,425203,Employee,No,192,20,85040.6
Professional,208759,Individual,No,194J,20,41751.8
Contractor,358041,Company,No,194C,20,71608.2
Rent,397830,Individual,No,194I,20,79566.0
Interest,409449,Company,Yes,194A,10,40944.9
Rent,150806,Company,Yes,194I,10,15080.6
Salary,166374,Employee,No,192,20,33274.8
Rent,426259,Company,Yes,194I,10,42625.9
Contractor,115390,Company,Yes,194C,2,2307.8
Interest,169454,Company,Yes,194A,10,16945.4
Professional,431249,Individual,Yes,194J,10,43124.9
Rent,90906,Company,No,194I,20,18181.2
Professional,433072,Company,Yes,194J,10,43307.2
Contractor,227908,Individual,No,194C,20,45581.6
Interest,350842,Company,No,194A,20,70168.4
Interest,74903,Individual,No,194A,20,14980.6
Salary,484525,Employee,No,192,20,96905.0
Salary,55201,Employee,No,192,20,11040.2
Rent,89370,Individual,Yes,194I,10,8937.0
Rent,264659,Company,No,194I,20,52931.8
Professional,259806,Individual,No,194J,20,51961.2
Interest,210783,Company,Yes,194A,10,21078.3
Professional,32964,Individual,Yes,194J,10,3296.4
Contractor,416111,Company,No,194C,20,83222.2
Rent,167887,Individual,Yes,194I,10,16788.7
Salary,145643,Employee,No,192,20,29128.6
Salary,435587,Employee,No,192,20,87117.4
Rent,307248,Company,Yes,194I,10,30724.8
Interest,147847,Company,Yes,194A,10,14784.7
Professional,79942,Company,Yes,194J,10,7994.2
Rent,128052,Individual,No,194I,20,25610.4
Salary,78537,Employee,Yes,192,5,3926.85
Contractor,225890,Individual,No,194C,20,45178.0
Contractor,218120,Individual,Yes,194C,2,4362.4
Interest,156703,Individual,Yes,194A,10,15670.3
Interest,459719,Company,No,194A,20,91943.8
Rent,171222,Individual,No,194I,20,34244.4
Salary,365710,Employee,No,192,20,73142.0
Professional,320000,Company,Yes,194J,10,32000.0
Interest,28789,Individual,Yes,194A,10,2878.9
Contractor,195983,Company,Yes,194C,2,3919.66
Rent,423300,Individual,Yes,194I,10,42330.0
Contractor,483805,Individual,No,194C,20,96761.0
Contractor,355939,Individual,No,194C,20,71187.8
Interest,383567,Individual,No,194A,20,76713.4
Rent,339874,Individual,Yes,194I,10,33987.4
Contractor,312599,Individual,No,194C,20,62519.8
Professional,161936,Individual,Yes,194J,10,16193.6
Salary,134119,Employee,Yes,192,5,6705.95
Professional,30760,Company,No,194J,20,6152.0
Professional,231946,Company,No,194J,20,46389.2
Professional,379147,Individual,Yes,194J,10,37914.7
Rent,254362,Company,No,194I,20,50872.4
Contractor,469419,Individual,Yes,194C,1,4694.19
Interest,217387,Individual,No,194A,20,43477.4
Professional,261523,Individual,No,194J,20,52304.6
Salary,413868,Employee,No,192,20,82773.6
Salary,403057,Employee,No,192,20,80611.4
Rent,298879,Company,No,194I,20,59775.8
Rent,377826,Individual,Yes,194I,10,37782.6
Interest,474320,Company,No,194A,20,94864.0
Rent,285712,Individual,No,194I,20,57142.4
Interest,264938,Company,Yes,194A,10,26493.8
Interest,175750,Company,Yes,194A,10,17575.0
Interest,394894,Company,No,194A,20,78978.8
Contractor,52351,Company,Yes,194C,2,1047.02
Interest,50739,Company,Yes,194A,10,5073.9
Contractor,365289,Individual,Yes,194C,1,3652.89
Contractor,85468,Individual,No,194C,20,17093.6
Interest,273502,Company,Yes,194A,10,27350.2
Professional,78333,Company,Yes,194J,10,7833.3
Rent,473249,Company,No,194I,20,94649.8
Salary,89436,Employee,No,192,20,17887.2
Rent,179707,Company,No,194I,20,35941.4
Rent,248672,Individual,Yes,194I,10,24867.2
Contractor,210603,Individual,Yes,194C,2,4212.06
Rent,429486,Individual,Yes,194I,10,42948.6
Contractor,441312,Individual,Yes,194C,2,8826.24
Contractor,247410,Company,Yes,194C,1,2474.1
Interest,211850,Company,No,194A,20,42370.0
Interest,176862,Individual,No,194A,20,35372.4
Rent,163666,Individual,Yes,194I,10,16366.6
Interest,68731,Company,No,194A,20,13746.2
Contractor,263621,Individual,Yes,194C,2,5272.42
Professional,211242,Company,No,194J,20,42248.4
Salary,80974,Employee,No,192,20,16194.8
Salary,443233,Employee,No,192,20,88646.6
Professional,307055,Individual,No,194J,20,61411.0
Rent,455489,Individual,Yes,194I,10,45548.9
Professional,73766,Company,Yes,194J,10,7376.6
Salary,207154,Employee,Yes,192,30,62146.2
Salary,470502,Employee,Yes,192,20,94100.4
Contractor,133977,Company,Yes,194C,1,1339.77
Rent,242102,Company,Yes,194I,10,24210.2
Professional,216499,Individual,No,194J,20,43299.8
Interest,244846,Individual,No,194A,20,48969.2
Contractor,150193,Individual,Yes,194C,2,3003.86
Rent,143495,Individual,Yes,194I,10,14349.5
Professional,113145,Company,No,194J,20,22629.0
Contractor,187727,Individual,Yes,194C,2,3754.54
Professional,398369,Individual,Yes,194J,10,39836.9
Interest,225326,Individual,No,194A,20,45065.2
Rent,351715,Individual,Yes,194I,10,35171.5
Interest,288607,Company,No,194A,20,57721.4
Contractor,264145,Company,Yes,194C,1,2641.45
Interest,235860,Individual,Yes,194A,10,23586.0
Salary,155052,Employee,Yes,192,30,46515.6
Rent,158957,Individual,No,194I,20,31791.4
Salary,136253,Employee,No,192,20,27250.6
Rent,116399,Company,No,194I,20,23279.8
Rent,382696,Individual,Yes,194I,10,38269.6
Professional,494409,Company,Yes,194J,10,49440.9
Contractor,94978,Company,Yes,194C,1,949.78
Rent,410743,Individual,Yes,194I,10,41074.3
Salary,186199,Employee,Yes,192,20,37239.8
Contractor,44591,Individual,Yes,194C,2,891.82
Professional,355734,Company,Yes,194J,10,35573.4
Contractor,371808,Individual,Yes,194C,2,7436.16
Professional,204036,Company,No,194J,20,40807.2
Professional,165725,Individual,No,194J,20,33145.0
Interest,192435,Individual,No,194A,20,38487.0
Salary,110670,Employee,No,192,20,22134.0
Interest,162886,Company,Yes,194A,10,16288.6
Rent,245585,Company,No,194I,20,49117.0
Interest,193982,Company,Yes,194A,10,19398.2
Contractor,400888,Company,No,194C,20,80177.6
Salary,212972,Employee,No,192,20,42594.4
Contractor,451359,Company,Yes,194C,2,9027.18
Interest,339272,Company,No,194A,20,67854.4
Professional,489762,Company,No,194J,20,97952.4
Professional,424391,Individual,Yes,194J,10,42439.1
Rent,217391,Company,No,194I,20,43478.2
Professional,89284,Company,No,194J,20,17856.8
Contractor,271787,Company,No,194C,20,54357.4
Contractor,435982,Company,No,194C,20,87196.4
Professional,167236,Company,Yes,194J,10,16723.6
Professional,248652,Company,Yes,194J,10,24865.2
Salary,195643,Employee,No,192,20,39128.6
Rent,175019,Individual,Yes,194I,10,17501.9
Salary,251819,Employee,No,192,20,50363.8
Interest,333464,Company,Yes,194A,10,33346.4
Professional,347304,Individual,No,194J,20,69460.8
Contractor,418427,Individual,Yes,194C,1,4184.27
Interest,293621,Individual,Yes,194A,10,29362.1
Interest,431658,Company,No,194A,20,86331.6
Professional,128511,Company,No,194J,20,25702.2
Interest,86902,Company,Yes,194A,10,8690.2
Interest,422780,Company,No,194A,20,84556.0
Interest,456948,Individual,Yes,194A,10,45694.8
Interest,238808,Company,Yes,194A,10,23880.8
Salary,251428,Employee,Yes,192,30,75428.4
Salary,331766,Employee,No,192,20,66353.2
Rent,352702,Individual,Yes,194I,10,35270.2
Professional,38368,Company,Yes,194J,10,3836.8
Rent,180810,Company,Yes,194I,10,18081.0
Rent,241111,Company,Yes,194I,10,24111.1
Contractor,208763,Company,Yes,194C,2,4175.26
Professional,314859,Company,Yes,194J,10,31485.9
Contractor,220778,Individual,No,194C,20,44155.6
Interest,210502,Company,No,194A,20,42100.4
Contractor,402054,Individual,No,194C,20,80410.8
Salary,58685,Employee,Yes,192,5,2934.25
Interest,211394,Individual,No,194A,20,42278.8
Professional,155354,Company,No,194J,20,31070.8
Rent,28735,Individual,No,194I,20,5747.0
Rent,38111,Individual,Yes,194I,10,3811.1
Contractor,153122,Company,No,194C,20,30624.4
Salary,389201,Employee,Yes,192,30,116760.3
Interest,310535,Individual,Yes,194A,10,31053.5
Professional,386865,Company,No,194J,20,77373.0
Contractor,22536,Company,Yes,194C,1,225.36
Professional,35252,Individual,Yes,194J,10,3525.2
Salary,472709,Employee,Yes,192,5,23635.45
Rent,464024,Individual,No,194I,20,92804.8
Professional,62487,Company,No,194J,20,12497.4
Rent,141513,Company,Yes,194I,10,14151.3
Salary,149011,Employee,No,192,20,29802.2
Contractor,337750,Company,No,194C,20,67550.0
Salary,159389,Employee,Yes,192,10,15938.9
Professional,178303,Individual,No,194J,20,35660.6
Salary,404651,Employee,No,192,20,80930.2
Salary,453464,Employee,Yes,192,10,45346.4
Rent,176856,Individual,No,194I,20,35371.2
Salary,71674,Employee,No,192,20,14334.8
Professional,398599,Company,No,194J,20,79719.8
Rent,35876,Individual,No,194I,20,7175.2
Salary,226703,Employee,Yes,192,5,11335.15
Contractor,424938,Company,Yes,194C,1,4249.38
Professional,365218,Company,No,194J,20,73043.6
Salary,60620,Employee,Yes,192,5,3031.0
Interest,86638,Company,Yes,194A,10,8663.8
Professional,209957,Company,Yes,194J,10,20995.7
Professional,122917,Individual,Yes,194J,10,12291.7
Interest,163987,Individual,Yes,194A,10,16398.7
Contractor,65662,Company,Yes,194C,2,1313.24
Professional,97510,Individual,Yes,194J,10,9751.0
Salary,168184,Employee,No,192,20,33636.8
Contractor,293375,Company,No,194C,20,58675.0
Interest,177103,Company,Yes,194A,10,17710.3
Rent,497104,Individual,No,194I,20,99420.8
Rent,110171,Company,No,194I,20,22034.2
Professional,61978,Individual,No,194J,20,12395.6
Professional,235188,Individual,Yes,194J,10,23518.8
Salary,242947,Employee,Yes,192,5,12147.35
Salary,412866,Employee,Yes,192,5,20643.3
Interest,295444,Company,Yes,194A,10,29544.4
Rent,213227,Individual,Yes,194I,10,21322.7
Contractor,115206,Company,No,194C,20,23041.2
Professional,179445,Individual,No,194J,20,35889.0
Rent,143015,Individual,Yes,194I,10,14301.5
Interest,138203,Company,No,194A,20,27640.6
Interest,254188,Company,Yes,194A,10,25418.8
Professional,290447,Company,No,194J,20,58089.4
Professional,186826,Individual,No,194J,20,37365.2
Rent,347456,Company,Yes,194I,10,34745.6
Salary,380235,Employee,Yes,192,20,76047.0
Interest,392543,Company,Yes,194A,10,39254.3
Professional,438547,Individual,No,194J,20,87709.4
Interest,256120,Company,Yes,194A,10,25612.0
Professional,296891,Individual,No,194J,20,59378.2
Professional,491047,Individual,Yes,194J,10,49104.7
Salary,288253,Employee,Yes,192,5,14412.65
Professional,469427,Company,Yes,194J,10,46942.7
Salary,439595,Employee,No,192,20,87919.0
Contractor,481564,Individual,No,194C,20,96312.8
Professional,216511,Individual,Yes,194J,10,21651.1
Contractor,118564,Company,Yes,194C,2,2371.28
Contractor,277978,Company,No,194C,20,55595.6
Interest,94671,Individual,Yes,194A,10,9467.1
Contractor,284077,Company,Yes,194C,1,2840.77
Rent,116339,Company,Yes,194I,10,11633.9
Professional,336723,Company,No,194J,20,67344.6
Contractor,399759,Company,Yes,194C,2,7995.18
Professional,386245,Company,Yes,194J,10,38624.5
Contractor,378234,Individual,Yes,194C,1,3782.34
Salary,255272,Employee,No,192,20,51054.4
Professional,355851,Company,Yes,194J,10,35585.1
Salary,63500,Employee,Yes,192,30,19050.0
Contractor,225352,Individual,Yes,194C,1,2253.52
Rent,143303,Individual,Yes,194I,10,14330.3
Salary,437585,Employee,No,192,20,87517.0
Contractor,225848,Individual,No,194C,20,45169.6
Contractor,206853,Company,No,194C,20,41370.6
Contractor,221905,Individual,Yes,194C,1,2219.05
Rent,459469,Individual,No,194I,20,91893.8
Salary,452557,Employee,No,192,20,90511.4
Salary,97891,Employee,No,192,20,19578.2
Rent,330255,Individual,Yes,194I,10,33025.5
Salary,474834,Employee,No,192,20,94966.8
Professional,221596,Company,Yes,194J,10,22159.6
Professional,193336,Company,No,194J,20,38667.2
Professional,313285,Individual,Yes,194J,10,31328.5
Contractor,268755,Individual,No,194C,20,53751.0
Contractor,432906,Individual,No,194C,20,86581.2
Salary,127982,Employee,No,192,20,25596.4
Contractor,284575,Individual,No,194C,20,56915.0
Rent,337897,Company,No,194I,20,67579.4
Salary,83433,Employee,Yes,192,30,25029.9
Contractor,471963,Individual,No,194C,20,94392.6
Contractor,282353,Individual,Yes,194C,1,2823.53
Contractor,296254,Individual,No,194C,20,59250.8
Contractor,439598,Individual,Yes,194C,1,4395.98
Interest,175567,Company,Yes,194A,10,17556.7
Rent,361586,Company,Yes,194I,10,36158.6
Contractor,178221,Company,No,194C,20,35644.2
Professional,351543,Company,No,194J,20,70308.6
Contractor,115017,Company,Yes,194C,2,2300.34
Interest,208773,Company,Yes,194A,10,20877.3
Interest,105071,Company,No,194A,20,21014.2
Salary,469032,Employee,Yes,192,30,140709.6
Professional,243806,Individual,No,194J,20,48761.2
Contractor,358441,Company,Yes,194C,1,3584.41
Salary,354058,Employee,No,192,20,70811.6
Salary,89967,Employee,Yes,192,5,4498.35
Professional,128018,Company,Yes,194J,10,12801.8
Interest,165502,Individual,No,194A,20,33100.4
Interest,160955,Company,No,194A,20,32191.0
Professional,379407,Company,Yes,194J,10,37940.7
Contractor,477888,Individual,No,194C,20,95577.6
Interest,159536,Company,No,194A,20,31907.2
Professional,170248,Individual,No,194J,20,34049.6
Interest,216923,Company,Yes,194A,10,21692.3
Salary,266366,Employee,No,192,20,53273.2
Interest,322969,Company,No,194A,20,64593.8
Contractor,161296,Individual,No,194C,20,32259.2
Contractor,220070,Company,No,194C,20,44014.0
Salary,106920,Employee,No,192,20,21384.0
Interest,99866,Individual,Yes,194A,10,9986.6
Rent,282335,Company,No,194I,20,56467.0
Salary,131037,Employee,Yes,192,5,6551.85
Interest,489494,Individual,No,194A,20,97898.8
Professional,208785,Individual,No,194J,20,41757.0
Salary,154966,Employee,No,192,20,30993.2
Professional,78005,Company,Yes,194J,10,7800.5
Rent,241063,Company,No,194I,20,48212.6
Professional,158308,Individual,No,194J,20,31661.6
Interest,490882,Individual,No,194A,20,98176.4
Salary,405440,Employee,No,192,20,81088.0
Contractor,450605,Company,No,194C,20,90121.0
Interest,232914,Individual,No,194A,20,46582.8
Contractor,62719,Company,No,194C,20,12543.8
Rent,166108,Individual,Yes,194I,10,16610.8
Professional,270146,Company,Yes,194J,10,27014.6
Contractor,441119,Individual,Yes,194C,1,4411.19
Professional,260331,Company,Yes,194J,10,26033.1
Interest,326244,Company,No,194A,20,65248.8
Professional,203132,Individual,Yes,194J,10,20313.2
Rent,135379,Individual,No,194I,20,27075.8
Interest,148842,Company,Yes,194A,10,14884.2
Salary,68354,Employee,No,192,20,13670.8
Rent,471322,Company,Yes,194I,10,47132.2
Professional,35962,Individual,No,194J,20,7192.4
Salary,371463,Employee,No,192,20,74292.6
Professional,482170,Individual,No,194J,20,96434.0
Contractor,77165,Company,Yes,194C,2,1543.3
Salary,167157,Employee,Yes,192,30,50147.1
Contractor,285083,Individual,Yes,194C,2,5701.66
Salary,229595,Employee,Yes,192,10,22959.5
Salary,432062,Employee,Yes,192,5,21603.1
Contractor,69577,Company,No,194C,20,13915.4
Professional,152519,Individual,Yes,194J,10,15251.9
Rent,244650,Individual,No,194I,20,48930.0
Rent,122525,Company,Yes,194I,10,12252.5
Interest,103878,Company,No,194A,20,20775.6
Professional,248471,Individual,No,194J,20,49694.2
Interest,157182,Company,Yes,194A,10,15718.2
Salary,322500,Employee,No,192,20,64500.0
Salary,390088,Employee,No,192,20,78017.6
Salary,455600,Employee,No,192,20,91120.0
Interest,155089,Company,No,194A,20,31017.8
Professional,418092,Individual,No,194J,20,83618.4
Interest,292014,Individual,Yes,194A,10,29201.4
Salary,383254,Employee,Yes,192,20,76650.8
Salary,157000,Employee,Yes,192,5,7850.0
Salary,228986,Employee,No,192,20,45797.2
Interest,308225,Individual,No,194A,20,61645.0
Professional,137758,Company,No,194J,20,27551.6
Salary,427028,Employee,Yes,192,20,85405.6
Professional,183219,Company,No,194J,20,36643.8
Interest,176120,Company,Yes,194A,10,17612.0
Rent,393517,Individual,Yes,194I,10,39351.7
Salary,342575,Employee,No,192,20,68515.0
Interest,63938,Company,Yes,194A,10,6393.8
Interest,232844,Company,No,194A,20,46568.8
Salary,374428,Employee,Yes,192,5,18721.4
Professional,375299,Company,No,194J,20,75059.8
Salary,378013,Employee,No,192,20,75602.6
Rent,67689,Company,No,194I,20,13537.8
Professional,264368,Company,No,194J,20,52873.6
Contractor,91432,Individual,Yes,194C,1,914.32
Interest,425540,Individual,Yes,194A,10,42554.0
Contractor,206312,Individual,No,194C,20,41262.4
Interest,376740,Company,No,194A,20,75348.0
Professional,394944,Company,No,194J,20,78988.8
Interest,42585,Individual,Yes,194A,10,4258.5
Professional,333936,Company,No,194J,20,66787.2
Interest,250111,Individual,No,194A,20,50022.2
Interest,492937,Individual,No,194A,20,98587.4
Rent,331657,Company,Yes,194I,10,33165.7
Contractor,120702,Company,Yes,194C,1,1207.02
Contractor,360097,Individual,Yes,194C,2,7201.94
Professional,457600,Company,No,194J,20,91520.0
Interest,428203,Individual,Yes,194A,10,42820.3
Interest,117165,Individual,Yes,194A,10,11716.5
Professional,124949,Individual,No,194J,20,24989.8
Professional,485164,Company,No,194J,20,97032.8
Rent,443418,Company,No,194I,20,88683.6
Rent,302175,Company,Yes,194I,10,30217.5
Contractor,217281,Company,No,194C,20,43456.2
Rent,101891,Company,No,194I,20,20378.2
Contractor,175242,Individual,No,194C,20,35048.4
Professional,353402,Company,No,194J,20,70680.4
Contractor,54058,Company,No,194C,20,10811.6
Interest,278334,Company,No,194A,20,55666.8
Rent,186117,Individual,Yes,194I,10,18611.7
Salary,494079,Employee,Yes,192,5,24703.95
Salary,407869,Employee,No,192,20,81573.8
Interest,38579,Company,No,194A,20,7715.8
Professional,485156,Company,Yes,194J,10,48515.6
Salary,413965,Employee,No,192,20,82793.0
Salary,177824,Employee,Yes,192,20,35564.8
Rent,212775,Company,No,194I,20,42555.0
Professional,437236,Company,Yes,194J,10,43723.6
Salary,336339,Employee,Yes,192,5,16816.95
Salary,439030,Employee,No,192,20,87806.0
Rent,447658,Company,Yes,194I,10,44765.8
Rent,362177,Individual,Yes,194I,10,36217.7
Interest,427584,Individual,No,194A,20,85516.8
Salary,487434,Employee,Yes,192,30,146230.2
Interest,266484,Company,Yes,194A,10,26648.4
Contractor,308524,Individual,No,194C,20,61704.8
Salary,439585,Employee,Yes,192,10,43958.5
Interest,411393,Individual,No,194A,20,82278.6
Rent,370019,Individual,Yes,194I,10,37001.9
Rent,352416,Company,Yes,194I,10,35241.6
Interest,350541,Company,Yes,194A,10,35054.1
Contractor,102207,Company,Yes,194C,2,2044.14
Rent,326191,Individual,No,194I,20,65238.2
Interest,254714,Individual,No,194A,20,50942.8
Salary,228558,Employee,Yes,192,5,11427.9
Contractor,341796,Individual,No,194C,20,68359.2
Contractor,266790,Company,Yes,194C,2,5335.8
Salary,90325,Employee,No,192,20,18065.0
Professional,53914,Individual,Yes,194J,10,5391.4
Salary,332884,Employee,No,192,20,66576.8
Professional,467142,Company,No,194J,20,93428.4
Rent,76786,Company,Yes,194I,10,7678.6
Salary,223698,Employee,No,192,20,44739.6
Contractor,240087,Company,Yes,194C,2,4801.74
Rent,108816,Company,Yes,194I,10,10881.6
Professional,453828,Individual,No,194J,20,90765.6
Professional,354258,Company,No,194J,20,70851.6
Contractor,477047,Individual,No,194C,20,95409.4
Professional,334893,Company,No,194J,20,66978.6
Contractor,48355,Individual,No,194C,20,9671.0
Rent,133240,Individual,Yes,194I,10,13324.0
Contractor,154922,Company,No,194C,20,30984.4
Professional,251562,Company,No,194J,20,50312.4
Salary,404777,Employee,No,192,20,80955.4
Interest,345566,Company,Yes,194A,10,34556.6
Rent,83277,Individual,No,194I,20,16655.4
Professional,264750,Company,Yes,194J,10,26475.0
Rent,311014,Company,No,194I,20,62202.8
Professional,274734,Company,No,194J,20,54946.8
Interest,59250,Company,No,194A,20,11850.0
Rent,148891,Individual,No,194I,20,29778.2
Rent,329285,Individual,No,194I,20,65857.0
Contractor,367555,Individual,Yes,194C,1,3675.55
Professional,317970,Individual,Yes,194J,10,31797.0
Contractor,268104,Company,No,194C,20,53620.8
Salary,47119,Employee,No,192,20,9423.8
Salary,132288,Employee,No,192,20,26457.6
Rent,454100,Company,Yes,194I,10,45410.0
Contractor,431766,Individual,Yes,194C,2,8635.32
Salary,216608,Employee,No,192,20,43321.6
Contractor,215009,Company,Yes,194C,2,4300.18
Rent,306486,Individual,Yes,194I,10,30648.6
Professional,183739,Individual,No,194J,20,36747.8
Professional,313686,Individual,Yes,194J,10,31368.6
Contractor,142692,Individual,Yes,194C,2,2853.84
Rent,76007,Individual,Yes,194I,10,7600.7
Interest,125593,Company,No,194A,20,25118.6
Professional,340828,Individual,Yes,194J,10,34082.8
Interest,345615,Individual,No,194A,20,69123.0
Contractor,265347,Company,Yes,194C,1,2653.47
Contractor,146511,Company,No,194C,20,29302.2
Salary,41951,Employee,No,192,20,8390.2
Interest,200624,Individual,Yes,194A,10,20062.4
Contractor,259923,Individual,No,194C,20,51984.6
Professional,449916,Individual,Yes,194J,10,44991.6
Salary,213047,Employee,Yes,192,5,10652.35
Contractor,242708,Company,No,194C,20,48541.6
Contractor,486582,Company,No,194C,20,97316.4
Professional,227297,Company,Yes,194J,10,22729.7
Rent,453024,Individual,Yes,194I,10,45302.4
Interest,268591,Individual,Yes,194A,10,26859.1
Professional,82663,Individual,No,194J,20,16532.6
Salary,82812,Employee,No,192,20,16562.4
Professional,406743,Company,Yes,194J,10,40674.3
Interest,275855,Company,No,194A,20,55171.0
Professional,226582,Company,No,194J,20,45316.4
Interest,396354,Company,No,194A,20,79270.8
Contractor,208120,Company,Yes,194C,1,2081.2
Salary,120895,Employee,Yes,192,30,36268.5
Rent,310421,Company,Yes,194I,10,31042.1
Professional,35412,Individual,No,194J,20,7082.4
Salary,104509,Employee,No,192,20,20901.8
Salary,299300,Employee,No,192,20,59860.0
Interest,260136,Company,No,194A,20,52027.2
Rent,194166,Individual,Yes,194I,10,19416.6
Rent,242833,Company,Yes,194I,10,24283.3
